Internship_ID,Skill Domain
4729,Technical
6151,Technical
5321,Technical
7696,Non-Technical
5428,Technical
10928,Non-Technical
10214,Non-Technical
6978,Technical
9080,Non-Technical
8781,Non-Technical
11010,Non-Technical
5335,Non-Technical
6788,Technical
8166,Non-Technical
6784,Technical
9636,Technical
5404,Technical
8754,Technical
5656,Management
4718,Technical
8459,Technical
4596,Technical
4759,Technical
7529,Technical
6003,Non-Technical
6032,Technical
5358,Technical
10386,Non-Technical
9698,Technical
6140,Non-Technical
4627,Technical
5422,Technical
8744,Technical
11107,Technical
6103,Technical
8888,Non-Technical
6786,Technical
7459,Technical
9839,Technical
9655,Technical
6734,Technical
10385,Management
7358,Technical
9754,Technical
10154,Technical
5633,Technical
8783,Technical
9353,Technical
6011,Technical
8041,Technical
8880,Technical
8340,Technical
8092,Non-Technical
6677,Technical
4615,Technical
10798,Technical
6878,Non-Technical
6796,Management
4612,Technical
9491,Technical
6321,Technical
4694,Non-Technical
7354,Management
10849,Technical
10827,Technical
7043,Technical
5062,Technical
6242,Non-Technical
5453,Technical
9670,Management
9114,Non-Technical
7333,Technical
8865,Technical
8992,Technical
5459,Technical
10323,Finance
11210,Technical
10524,Technical
10226,Technical
10262,Technical
6877,Non-Technical
10822,Technical
9610,Technical
8927,Technical
11090,Technical
7454,Technical
6207,Non-Technical
5596,Technical
5024,Technical
4695,Non-Technical
8234,Management
10899,Technical
7502,Management
6328,Technical
8825,Technical
5641,Technical
10955,Non-Technical
5439,Technical
8013,Technical
10804,Technical
6861,Management
8373,Non-Technical
8308,Technical
7015,Technical
9081,Technical
7483,Non-Technical
4646,Technical
9873,Technical
4871,Technical
5072,Technical
6691,Technical
9359,Non-Technical
6165,Technical
10462,Technical
10355,Non-Technical
9147,Technical
4656,Technical
8413,Technical
5397,Non-Technical
5535,Technical
6565,Non-Technical
6343,Non-Technical
5423,Technical
4686,Technical
10256,Technical
8032,Non-Technical
7556,Technical
9988,Technical
7677,Finance
10201,Technical
6844,Non-Technical
6329,Technical
11145,Non-Technical
5339,Finance
6048,Non-Technical
6925,Technical
10272,Technical
5282,Technical
11018,Technical
7412,Management
10913,Technical
8987,Technical
8023,Technical
4805,Technical
9628,Non-Technical
5626,Non-Technical
6696,Technical
8775,Management
11096,Technical
7685,Technical
8717,Technical
5366,Non-Technical
6146,Technical
10980,Non-Technical
8027,Technical
4782,Technical
10819,Non-Technical
8745,Non-Technical
9413,Technical
9387,Non-Technical
5300,Non-Technical
10509,Non-Technical
10188,Technical
8427,Non-Technical
4880,Non-Technical
8905,Technical
10102,Technical
5521,Technical
9711,Technical
4883,Technical
9079,Non-Technical
4980,Technical
8055,Technical
5496,Technical
5580,Technical
7690,Technical
8832,Finance
5312,Technical
9577,Technical
9607,Technical
6808,Non-Technical
4978,Non-Technical
10185,Technical
4806,Technical
5495,Management
10261,Technical
5644,Technical
11119,Technical
10373,Technical
6740,Technical
9458,Technical
10856,Technical
8192,Technical
6766,Non-Technical
7452,Technical
7938,Technical
6797,Technical
4653,Technical
8796,Management
8862,Management
6756,Technical
6695,Management
8768,Management
4638,Non-Technical
8751,Technical
6014,Other
4975,Technical
8012,Technical
6811,Non-Technical
9509,Technical
4870,Technical
7381,Non-Technical
5269,Technical
5416,Technical
9489,Technical
9449,Finance
10243,Non-Technical
6946,Non-Technical
11270,Non-Technical
6130,Technical
4947,Non-Technical
10371,Technical
8966,Technical
6783,Non-Technical
8731,Technical
8741,Non-Technical
8017,Non-Technical
6714,Technical
5975,Management
9650,Non-Technical
9473,Technical
6967,Management
10217,Technical
10550,Non-Technical
9862,Technical
6355,Technical
4836,Technical
4807,Management
8902,Technical
7086,Technical
8879,Management
10179,Non-Technical
10896,Technical
7037,Technical
6735,Technical
7655,Technical
7557,Non-Technical
10337,Non-Technical
9824,Non-Technical
9945,Technical
7329,Technical
9673,Technical
10868,Technical
4669,Technical
7525,Technical
4797,Technical
10947,Technical
8164,Technical
11046,Non-Technical
9676,Non-Technical
5325,Technical
8353,Technical
5444,Management
6244,Non-Technical
10778,Non-Technical
6348,Non-Technical
5607,Non-Technical
4741,Technical
4645,Technical
5476,Non-Technical
8721,Non-Technical
9375,Technical
4750,Technical
6678,Technical
6132,Non-Technical
5364,Technical
4774,Technical
4702,Management
7446,Technical
8136,Non-Technical
8352,Non-Technical
4736,Technical
9008,Non-Technical
8220,Technical
4697,Technical
8151,Management
5402,Non-Technical
5143,Technical
8976,Technical
8814,Non-Technical
10809,Non-Technical
10789,Technical
10771,Technical
5589,Non-Technical
5573,Management
5995,Non-Technical
11242,Technical
9544,Technical
8026,Technical
4773,Technical
11047,Non-Technical
8982,Technical
7991,Technical
10905,Technical
4765,Technical
7530,Non-Technical
10942,Technical
8437,Technical
6063,Technical
5356,Technical
6672,Technical
7319,Non-Technical
8774,Non-Technical
8076,Non-Technical
6800,Technical
10474,Technical
8387,Non-Technical
8868,Technical
10492,Technical
5085,Non-Technical
10888,Technical
10175,Technical
10489,Technical
4787,Non-Technical
9554,Technical
11009,Technical
9784,Non-Technical
11134,Non-Technical
5008,Technical
9022,Technical
7379,Technical
5973,Non-Technical
8204,Non-Technical
5609,Finance
10873,Technical
10343,Non-Technical
8138,Technical
5443,Management
10879,Non-Technical
8946,Technical
6405,Management
5475,Non-Technical
5943,Non-Technical
4589,Non-Technical
9690,Non-Technical
10220,Technical
8173,Technical
8179,Management
10182,Technical
4903,Technical
10962,Non-Technical
6231,Technical
11076,Technical
4723,Technical
11091,Technical
6138,Management
4852,Technical
9590,Non-Technical
4594,Non-Technical
8126,Non-Technical
10767,Technical
10229,Technical
5667,Management
10968,Technical
9055,Management
8598,Non-Technical
10141,Technical
5682,Technical
8827,Technical
4851,Technical
9721,Technical
4856,Non-Technical
11148,Non-Technical
4778,Non-Technical
5294,Technical
7605,Technical
5001,Technical
10132,Non-Technical
5378,Technical
11157,Non-Technical
5341,Technical
7416,Technical
6109,Technical
11106,Technical
4713,Non-Technical
4747,Technical
8723,Non-Technical
4605,Non-Technical
8291,Non-Technical
10162,Technical
8778,Non-Technical
5306,Non-Technical
6726,Finance
7577,Non-Technical
10236,Non-Technical
6386,Non-Technical
10089,Technical
11031,Technical
4715,Technical
6226,Technical
8941,Non-Technical
8896,Non-Technical
5263,Technical
9585,Non-Technical
6924,Non-Technical
5510,Non-Technical
7062,Technical
4887,Non-Technical
8307,Technical
6962,Technical
6157,Technical
11334,Technical
6155,Technical
10092,Technical
7002,Non-Technical
9398,Technical
5585,Technical
6849,Technical
8348,Non-Technical
7372,Technical
8399,Management
10432,Non-Technical
4900,Technical
5966,Non-Technical
9875,Non-Technical
10138,Technical
7353,Technical
5448,Non-Technical
10487,Non-Technical
6101,Technical
10099,Technical
7795,Non-Technical
5806,Non-Technical
8152,Technical
7307,Technical
10894,Non-Technical
10104,Non-Technical
9401,Technical
6976,Technical
9437,Technical
10900,Non-Technical
4608,Technical
9691,Non-Technical
10981,Technical
5287,Technical
8188,Non-Technical
5578,Management
5720,Technical
8790,Technical
8463,Non-Technical
8798,Technical
10854,Non-Technical
8895,Technical
7423,Technical
9774,Technical
7335,Technical
9477,Technical
9474,Management
10127,Technical
7505,Finance
10842,Finance
5367,Technical
7394,Technical
5373,Non-Technical
10122,Non-Technical
9386,Technical
9095,Technical
4843,Technical
9588,Technical
5389,Technical
6718,Non-Technical
10917,Technical
10164,Non-Technical
7396,Technical
6224,Technical
11065,Technical
7419,Technical
10423,Non-Technical
8177,Technical
7080,Technical
11132,Technical
11126,Technical
5275,Non-Technical
6215,Technical
6070,Non-Technical
10309,Non-Technical
11087,Non-Technical
4726,Technical
9507,Technical
7078,Finance
7402,Non-Technical
10638,Non-Technical
10242,Non-Technical
7724,Technical
4924,Non-Technical
10861,Technical
9453,Technical
8084,Non-Technical
9713,Technical
11264,Technical
6693,Technical
8826,Technical
8817,Non-Technical
8948,Technical
5338,Non-Technical
8103,Technical
7294,Non-Technical
5256,Technical
11048,Management
10974,Technical
8389,Technical
6012,Technical
8517,Technical
10940,Non-Technical
10420,Management
6752,Technical
11039,Non-Technical
6186,Technical
10259,Technical
4768,Non-Technical
7488,Non-Technical
9390,Non-Technical
5429,Non-Technical
8057,Technical
6767,Technical
4643,Technical
9384,Technical
5822,Non-Technical
6959,Technical
10786,Technical
7719,Technical
8064,Technical
7040,Non-Technical
5579,Non-Technical
4861,Technical
6004,Non-Technical
6436,Technical
8279,Technical
7449,Non-Technical
10919,Management
9482,Non-Technical
10887,Technical
6708,Non-Technical
8197,Technical
7422,Non-Technical
7617,Non-Technical
6367,Technical
5316,Non-Technical
9787,Non-Technical
11054,Technical
6053,Technical
7461,Technical
8175,Finance
4835,Non-Technical
9429,Technical
7016,Technical
8811,Non-Technical
9767,Technical
8382,Finance
5877,Other
7035,Non-Technical
9697,Non-Technical
4786,Technical
8582,Technical
8087,Technical
9467,Non-Technical
6192,Technical
6762,Technical
5562,Non-Technical
5650,Technical
5432,Management
8430,Technical
10421,Technical
5094,Other
8321,Technical
8988,Technical
6966,Technical
10502,Non-Technical
9465,Technical
9368,Technical
9752,Technical
7519,Technical
11110,Non-Technical
6799,Technical
7668,Non-Technical
6452,Technical
6104,Non-Technical
10862,Technical
8799,Technical
8183,Technical
6061,Non-Technical
9433,Management
8050,Other
10958,Non-Technical
8185,Technical
7411,Non-Technical
4877,Technical
8869,Other
8134,Technical
5361,Other
7314,Technical
11028,Non-Technical
9658,Technical
6078,Other
9421,Non-Technical
8240,Technical
9654,Non-Technical
6807,Technical
10932,Technical
6306,Non-Technical
10306,Non-Technical
4760,Technical
7669,Technical
5456,Technical
5400,Technical
7365,Technical
8237,Non-Technical
6085,Technical
10284,Technical
8443,Technical
4945,Non-Technical
6023,Technical
10184,Technical
7552,Non-Technical
5544,Technical
5798,Technical
7444,Technical
4642,Management
10519,Technical
4573,Technical
10883,Non-Technical
5581,Technical
5285,Non-Technical
5286,Non-Technical
8402,Non-Technical
10440,Non-Technical
6956,Technical
10478,Technical
8951,Non-Technical
8157,Technical
5360,Non-Technical
10356,Technical
8930,Technical
6040,Technical
7531,Technical
10874,Technical
4890,Technical
10840,Non-Technical
10155,Technical
9478,Technical
6760,Non-Technical
10330,Non-Technical
9377,Technical
9052,Technical
5414,Non-Technical
9918,Technical
10381,Technical
4800,Technical
9703,Technical
6970,Non-Technical
8899,Technical
8963,Technical
10953,Non-Technical
4633,Non-Technical
9781,Technical
10209,Non-Technical
8788,Technical
10298,Non-Technical
5617,Management
4999,Non-Technical
4751,Technical
7434,Technical
5437,Technical
6245,Technical
7659,Technical
7635,Non-Technical
11168,Technical
5426,Non-Technical
8079,Non-Technical
6075,Non-Technical
10897,Management
4629,Technical
7058,Non-Technical
4710,Non-Technical
6056,Technical
7301,Technical
9776,Technical
8871,Technical
9625,Technical
7053,Technical
8818,Technical
5768,Technical
5044,Technical
8742,Technical
11306,Non-Technical
8720,Technical
9217,Technical
4821,Technical
10249,Non-Technical
6810,Management
8367,Technical
5577,Technical
5431,Technical
7645,Technical
5546,Technical
9209,Finance
5323,Non-Technical
6894,Non-Technical
8432,Technical
7479,Technical
10430,Non-Technical
9009,Technical
7031,Non-Technical
10200,Technical
6733,Non-Technical
6251,Technical
4961,Technical
7109,Management
5368,Non-Technical
5587,Technical
10273,Technical
10448,Technical
6902,Management
6074,Non-Technical
9894,Technical
5601,Non-Technical
4692,Technical
6955,Technical
4874,Technical
5446,Technical
8365,Technical
6073,Technical
7611,Technical
8752,Technical
7838,Technical
7484,Technical
10673,Technical
8159,Technical
5537,Technical
8917,Non-Technical
9480,Technical
7438,Technical
8536,Technical
9442,Non-Technical
9695,Non-Technical
5391,Technical
5634,Other
6170,Non-Technical
8293,Technical
8924,Non-Technical
10836,Non-Technical
5721,Non-Technical
9652,Non-Technical
4681,Technical
4601,Non-Technical
9071,Non-Technical
4721,Management
7304,Technical
7545,Technical
4572,Non-Technical
6477,Technical
7534,Non-Technical
8777,Technical
5398,Non-Technical
6679,Management
5977,Non-Technical
9687,Technical
10388,Technical
8187,Non-Technical
6692,Non-Technical
5728,Management
7308,Non-Technical
7375,Non-Technical
9160,Technical
5371,Non-Technical
4673,Technical
10393,Non-Technical
8767,Management
5047,Non-Technical
10216,Non-Technical
6720,Non-Technical
6815,Technical
9462,Management
8305,Technical
8938,Technical
8244,Technical
4746,Non-Technical
9369,Technical
6105,Technical
6163,Other
8140,Management
6162,Non-Technical
5458,Non-Technical
7044,Technical
10168,Non-Technical
4812,Non-Technical
6122,Non-Technical
10797,Non-Technical
5421,Technical
8075,Non-Technical
9750,Technical
5604,Technical
8021,Non-Technical
9505,Technical
4976,Non-Technical
5267,Technical
6387,Non-Technical
10818,Management
5049,Technical
9067,Technical
7312,Technical
10308,Non-Technical
8142,Non-Technical
10870,Technical
8190,Technical
4908,Technical
10118,Technical
5576,Technical
7313,Non-Technical
10090,Management
10807,Technical
6112,Technical
5392,Non-Technical
6065,Non-Technical
6862,Technical
8309,Technical
5376,Technical
4832,Technical
4711,Non-Technical
8819,Technical
9451,Management
4651,Technical
6177,Technical
11158,Technical
4974,Other
7574,Non-Technical
8525,Non-Technical
9060,Technical
10347,Technical
9494,Non-Technical
11085,Technical
10554,Technical
6082,Technical
7460,Technical
5354,Technical
8873,Technical
8401,Non-Technical
7472,Non-Technical
5511,Finance
8385,Non-Technical
8246,Technical
7570,Non-Technical
9062,Non-Technical
7663,Technical
9074,Technical
7033,Non-Technical
4901,Technical
4668,Technical
6147,Technical
8863,Non-Technical
6744,Non-Technical
6016,Technical
8474,Non-Technical
7350,Non-Technical
9580,Non-Technical
7351,Non-Technical
9706,Technical
10446,Technical
10095,Management
9391,Technical
8123,Non-Technical
7755,Technical
10506,Technical
6949,Non-Technical
7403,Non-Technical
4639,Technical
9668,Non-Technical
8165,Non-Technical
9018,Technical
5420,Technical
4868,Technical
8248,Non-Technical
9058,Technical
4641,Management
6908,Non-Technical
8007,Non-Technical
8120,Technical
7633,Non-Technical
9503,Technical
10803,Non-Technical
4849,Technical
7137,Technical
6892,Technical
8795,Technical
6311,Technical
5673,Non-Technical
5073,Non-Technical
8067,Technical
8894,Technical
10726,Non-Technical
11072,Technical
10429,Technical
5480,Technical
7548,Non-Technical
6613,Technical
6346,Non-Technical
6505,Technical
4957,Technical
7485,Management
11099,Technical
5329,Technical
6079,Technical
6570,Non-Technical
10880,Technical
7997,Technical
10582,Non-Technical
7009,Non-Technical
10456,Non-Technical
10814,Technical
8889,Technical
4582,Non-Technical
10357,Non-Technical
9410,Non-Technical
6819,Technical
8200,Non-Technical
8759,Non-Technical
6021,Non-Technical
8091,Management
8209,Non-Technical
7388,Non-Technical
4588,Non-Technical
5425,Technical
6327,Other
9649,Technical
6235,Technical
8383,Non-Technical
4827,Technical
9475,Technical
6038,Non-Technical
7024,Technical
6307,Non-Technical
6686,Finance
6270,Technical
11342,Other
8143,Non-Technical
5383,Non-Technical
5684,Technical
8393,Non-Technical
4876,Technical
8113,Non-Technical
5134,Technical
8719,Technical
8161,Other
4577,Non-Technical
7386,Non-Technical
6863,Non-Technical
11066,Technical
8815,Technical
5140,Management
5362,Technical
10275,Non-Technical
5375,Technical
11112,Technical
4826,Management
5380,Technical
11071,Non-Technical
4698,Non-Technical
4634,Technical
6314,Management
9630,Technical
9035,Non-Technical
5296,Technical
4802,Technical
8897,Non-Technical
6322,Technical
7377,Technical
4919,Non-Technical
8392,Technical
10148,Technical
6703,Technical
7373,Technical
10871,Management
9191,Technical
9043,Non-Technical
10137,Non-Technical
8242,Technical
6682,Technical
9512,Non-Technical
10387,Technical
10354,Technical
6310,Technical
9530,Technical
10608,Technical
8202,Technical
8062,Non-Technical
11056,Non-Technical
8877,Other
11182,Non-Technical
8428,Non-Technical
5419,Technical
8835,Technical
10930,Technical
8109,Technical
10860,Non-Technical
8384,Technical
7299,Technical
10949,Technical
5624,Non-Technical
8101,Non-Technical
9363,Management
9846,Technical
9412,Non-Technical
5438,Technical
6787,Non-Technical
8169,Technical
8954,Non-Technical
7618,Technical
6052,Non-Technical
11089,Technical
10097,Non-Technical
10096,Non-Technical
11227,Other
8121,Non-Technical
8018,Non-Technical
8014,Technical
8911,Other
8154,Non-Technical
9751,Finance
9426,Technical
9468,Technical
6299,Management
5291,Non-Technical
5794,Other
7650,Technical
8726,Technical
9914,Other
8785,Technical
8336,Non-Technical
8030,Management
7834,Other
6713,Technical
5315,Technical
9626,Non-Technical
6658,Technical
4600,Technical
9700,Technical
8194,Technical
7808,Technical
8776,Technical
10431,Technical
11063,Non-Technical
4809,Management
10902,Non-Technical
10172,Technical
10514,Technical
10507,Non-Technical
10069,Technical
6874,Non-Technical
9773,Technical
10267,Non-Technical
7999,Technical
10234,Technical
7391,Non-Technical
9036,Non-Technical
9755,Technical
9394,Technical
10181,Non-Technical
10944,Management
6794,Management
8338,Technical
5334,Non-Technical
5555,Technical
8245,Technical
7671,Management
9466,Technical
8715,Non-Technical
10970,Other
6107,Non-Technical
5704,Finance
10130,Management
7017,Non-Technical
10794,Non-Technical
11043,Non-Technical
10223,Technical
8808,Technical
8559,Other
10370,Non-Technical
8411,Technical
5627,Non-Technical
10806,Technical
11006,Technical
6914,Non-Technical
10286,Non-Technical
4912,Non-Technical
9719,Technical
10918,Non-Technical
11166,Non-Technical
8953,Technical
9057,Other
4971,Other
6411,Other
9696,Non-Technical
8083,Non-Technical
10733,Other
8997,Non-Technical
7409,Technical
7680,Non-Technical
8225,Technical
10257,Non-Technical
7413,Technical
5262,Technical
9534,Technical
10199,Management
6802,Technical
7486,Technical
8779,Technical
5490,Non-Technical
6775,Technical
5396,Technical
9642,Other
7536,Non-Technical
7697,Other
9402,Technical
6200,Non-Technical
9367,Management
8184,Technical
5996,Non-Technical
9352,Non-Technical
5408,Non-Technical
10208,Technical
6659,Technical
10076,Technical
6972,Technical
9003,Technical
11067,Non-Technical
6707,Management
4884,Management
5615,Non-Technical
10248,Technical
6210,Non-Technical
8327,Other
10282,Non-Technical
6037,Non-Technical
6024,Technical
6202,Technical
10230,Technical
9098,Non-Technical
7753,Technical
11042,Technical
8618,Other
10453,Technical
10992,Technical
5990,Non-Technical
7803,Technical
5964,Non-Technical
10904,Technical
8002,Non-Technical
5365,Non-Technical
9388,Non-Technical
10934,Non-Technical
10111,Non-Technical
6051,Non-Technical
6002,Technical
6697,Technical
10359,Management
6700,Technical
9447,Technical
4783,Non-Technical
6301,Technical
10946,Technical
4690,Technical
7547,Non-Technical
6220,Non-Technical
10471,Non-Technical
7390,Technical
4626,Technical
8045,Non-Technical
5273,Non-Technical
7399,Technical
9511,Non-Technical
6134,Non-Technical
4892,Management
6535,Non-Technical
10935,Other
8089,Technical
8329,Technical
7625,Other
11164,Non-Technical
8974,Non-Technical
8978,Technical
11016,Non-Technical
5084,Non-Technical
11037,Technical
9795,Other
6272,Technical
10165,Technical
10288,Technical
8964,Technical
9545,Non-Technical
6243,Technical
7003,Non-Technical
8907,Technical
8756,Other
8271,Other
8122,Finance
9720,Technical
6001,Technical
5509,Management
10169,Technical
10975,Technical
8287,Technical
8874,Technical
10345,Non-Technical
10795,Other
8139,Technical
9641,Technical
5463,Technical
5823,Other
4829,Technical
7464,Non-Technical
5670,Non-Technical
8359,Non-Technical
9486,Other
4929,Non-Technical
9602,Technical
5359,Non-Technical
8890,Non-Technical
6123,Technical
11077,Other
5440,Non-Technical
5591,Technical
7389,Technical
9452,Technical
4754,Other
7702,Non-Technical
4580,Non-Technical
6097,Non-Technical
10993,Technical
10378,Management
10796,Non-Technical
4672,Technical
10495,Technical
7815,Other
6288,Technical
7489,Non-Technical
8806,Non-Technical
6029,Technical
9501,Technical
10251,Non-Technical
11045,Non-Technical
8150,Technical
9674,Technical
4722,Other
6143,Non-Technical
4689,Technical
10687,Other
5526,Technical
11129,Non-Technical
6325,Non-Technical
10826,Technical
6217,Technical
4725,Technical
4611,Technical
9500,Technical
6771,Non-Technical
7417,Other
8841,Technical
4763,Technical
6054,Technical
7006,Non-Technical
4769,Technical
7564,Technical
8824,Technical
4652,Non-Technical
9444,Technical
8170,Technical
7626,Non-Technical
6989,Technical
6036,Technical
6948,Technical
6980,Technical
4998,Technical
6072,Management
11181,Non-Technical
5968,Non-Technical
7603,Technical
6971,Technical
7380,Non-Technical
7943,Technical
5672,Non-Technical
10083,Technical
8081,Technical
9637,Non-Technical
7085,Technical
5274,Non-Technical
9909,Technical
4770,Non-Technical
7344,Non-Technical
5522,Technical
